Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,TradingSymbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size
BCD,bcs_fo,GBPINR,1015270,FUTCUR,,,GBPINR2024529FUT,GBPINR2024529FUT,GBPINR 29MAY24 FUT,2024-05-29,1,0.0025
BCD,bcs_fo,GBPINR,1018753,FUTCUR,,,GBPINR2024626FUT,GBPINR2024626FUT,GBPINR 26JUN24 FUT,2024-06-26,1,0.0025
BCD,bcs_fo,GBPINR,1019168,FUTCUR,,,GBPINR2023915FUT,GBPINR2023915FUT,GBPINR 15SEP23 FUT,2023-09-15,1,0.0025
BCD,bcs_fo,GBPINR,1013099,FUTCUR,,,GBPINR2023728FUT,GBPINR2023728FUT,GBPINR 28JUL23 FUT,2023-07-28,1,0.0025
BCD,bcs_fo,GBPINR,1013843,FUTCUR,,,GBPINR2023804FUT,GBPINR2023804FUT,GBPINR 04AUG23 FUT,2023-08-04,1,0.0025
BCD,bcs_fo,GBPINR,1018188,FUTCUR,,,GBPINR2023908FUT,GBPINR2023908FUT,GBPINR 08SEP23 FUT,2023-09-08,1,0.0025
BCD,bcs_fo,GBPINR,2115243,FUTCUR,,,GBPINR2023721FUT,GBPINR2023721FUT,GBPINR 21JUL23 FUT,2023-07-21,1,0.0025
BCD,bcs_fo,GBPINR,1016702,FUTCUR,,,GBPINR2023825FUT,GBPINR2023825FUT,GBPINR 25AUG23 FUT,2023-08-25,1,0.0025
BCD,bcs_fo,GBPINR,1017363,FUTCUR,,,GBPINR2023901FUT,GBPINR2023901FUT,GBPINR 01SEP23 FUT,2023-09-01,1,0.0025
BCD,bcs_fo,GBPINR,1011360,FUTCUR,,,GBPINR2023714FUT,GBPINR2023714FUT,GBPINR 14JUL23 FUT,2023-07-14,1,0.0025
BCD,bcs_fo,GBPINR,1016101,FUTCUR,,,GBPINR2023818FUT,GBPINR2023818FUT,GBPINR 18AUG23 FUT,2023-08-18,1,0.0025
BCD,bcs_fo,GBPINR,1010275,FUTCUR,,,GBPINR2023707FUT,GBPINR2023707FUT,GBPINR 07JUL23 FUT,2023-07-07,1,0.0025
BCD,bcs_fo,GBPINR,1014670,FUTCUR,,,GBPINR2023811FUT,GBPINR2023811FUT,GBPINR 11AUG23 FUT,2023-08-11,1,0.0025
BCD,bcs_fo,EURINR,1024218,FUTCUR,,,EURINR2023727FUT,EURINR2023727FUT,EURINR 27JUL23 FUT,2023-07-27,1,0.0025
BCD,bcs_fo,EURINR,1027340,FUTCUR,,,EURINR2023829FUT,EURINR2023829FUT,EURINR 29AUG23 FUT,2023-08-29,1,0.0025
BCD,bcs_fo,EURINR,1031940,FUTCUR,,,EURINR2023926FUT,EURINR2023926FUT,EURINR 26SEP23 FUT,2023-09-26,1,0.0025
BCD,bcs_fo,EURINR,1034924,FUTCUR,,,EURINR20231027FUT,EURINR20231027FUT,EURINR 27OCT23 FUT,2023-10-27,1,0.0025
BCD,bcs_fo,EURINR,1038647,FUTCUR,,,EURINR20231128FUT,EURINR20231128FUT,EURINR 28NOV23 FUT,2023-11-28,1,0.0025
BCD,bcs_fo,EURINR,1043015,FUTCUR,,,EURINR20231227FUT,EURINR20231227FUT,EURINR 27DEC23 FUT,2023-12-27,1,0.0025
BCD,bcs_fo,EURINR,1045815,FUTCUR,,,EURINR2024129FUT,EURINR2024129FUT,EURINR 29JAN24 FUT,2024-01-29,1,0.0025
BCD,bcs_fo,EURINR,1001739,FUTCUR,,,EURINR2024227FUT,EURINR2024227FUT,EURINR 27FEB24 FUT,2024-02-27,1,0.0025
BCD,bcs_fo,EURINR,1007425,FUTCUR,,,EURINR2024327FUT,EURINR2024327FUT,EURINR 27MAR24 FUT,2024-03-27,1,0.0025
BCD,bcs_fo,EURINR,1010822,FUTCUR,,,EURINR2024426FUT,EURINR2024426FUT,EURINR 26APR24 FUT,2024-04-26,1,0.0025
BCD,bcs_fo,EURINR,1015271,FUTCUR,,,EURINR2024529FUT,EURINR2024529FUT,EURINR 29MAY24 FUT,2024-05-29,1,0.0025
BCD,bcs_fo,EURINR,1018754,FUTCUR,,,EURINR2024626FUT,EURINR2024626FUT,EURINR 26JUN24 FUT,2024-06-26,1,0.0025
BCD,bcs_fo,EURINR,1014671,FUTCUR,,,EURINR2023811FUT,EURINR2023811FUT,EURINR 11AUG23 FUT,2023-08-11,1,0.0025
BCD,bcs_fo,EURINR,1019169,FUTCUR,,,EURINR2023915FUT,EURINR2023915FUT,EURINR 15SEP23 FUT,2023-09-15,1,0.0025
BCD,bcs_fo,EURINR,1013100,FUTCUR,,,EURINR2023728FUT,EURINR2023728FUT,EURINR 28JUL23 FUT,2023-07-28,1,0.0025
BCD,bcs_fo,EURINR,1013844,FUTCUR,,,EURINR2023804FUT,EURINR2023804FUT,EURINR 04AUG23 FUT,2023-08-04,1,0.0025
BCD,bcs_fo,EURINR,1018189,FUTCUR,,,EURINR2023908FUT,EURINR2023908FUT,EURINR 08SEP23 FUT,2023-09-08,1,0.0025
BCD,bcs_fo,EURINR,2115265,FUTCUR,,,EURINR2023721FUT,EURINR2023721FUT,EURINR 21JUL23 FUT,2023-07-21,1,0.0025
BCD,bcs_fo,EURINR,1016703,FUTCUR,,,EURINR2023825FUT,EURINR2023825FUT,EURINR 25AUG23 FUT,2023-08-25,1,0.0025
BCD,bcs_fo,EURINR,1017364,FUTCUR,,,EURINR2023901FUT,EURINR2023901FUT,EURINR 01SEP23 FUT,2023-09-01,1,0.0025
BCD,bcs_fo,EURINR,1011361,FUTCUR,,,EURINR2023714FUT,EURINR2023714FUT,EURINR 14JUL23 FUT,2023-07-14,1,0.0025
