id,Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size,StPrice1,StPrice2,StPriceCombine
7996,CDS,cde_fo,EURINR,12273,OPTCUR,CE,94,EURINR26SEPTEMBER2394CE,EURINR23SEP94CE,EURINR 26SEP23 94 CE,26-09-2023,1,0.0025,94,,94
7997,CDS,cde_fo,EURUSD,12274,OPTCUR,CE,1.21,EURUSD29AUGUST231.21CE,EURUSD23AUG1.21CE,EURUSD 29AUG23 1.21 CE,29-08-2023,1,0.0001,1,21,1.21
7998,CDS,cde_fo,EURUSD,12275,OPTCUR,PE,1.21,EURUSD29AUGUST231.21PE,EURUSD23AUG1.21PE,EURUSD 29AUG23 1.21 PE,29-08-2023,1,0.0001,1,21,1.21
7999,CDS,cde_fo,EURUSD,12276,OPTCUR,CE,1.215,EURUSD29AUGUST231.215CE,EURUSD23AUG1.215CE,EURUSD 29AUG23 1.215 CE,29-08-2023,1,0.0001,1,215,1.215
8000,CDS,cde_fo,EURUSD,12277,OPTCUR,PE,1.215,EURUSD29AUGUST231.215PE,EURUSD23AUG1.215PE,EURUSD 29AUG23 1.215 PE,29-08-2023,1,0.0001,1,215,1.215
8001,CDS,cde_fo,JPYINR,12278,OPTCUR,CE,60.25,JPYINR26JUNE2460.25CE,JPYINR24JUN60.25CE,JPYINR 26JUN24 60.25 CE,26-06-2024,1,0.0025,60,25,60.25
8002,CDS,cde_fo,JPYINR,12279,OPTCUR,PE,60.25,JPYINR26JUNE2460.25PE,JPYINR24JUN60.25PE,JPYINR 26JUN24 60.25 PE,26-06-2024,1,0.0025,60,25,60.25
8003,CDS,cde_fo,JPYINR,12280,OPTCUR,CE,60.5,JPYINR26JUNE2460.5CE,JPYINR24JUN60.5CE,JPYINR 26JUN24 60.5 CE,26-06-2024,1,0.0025,60,5,60.5
8004,CDS,cde_fo,JPYINR,12281,OPTCUR,PE,60.5,JPYINR26JUNE2460.5PE,JPYINR24JUN60.5PE,JPYINR 26JUN24 60.5 PE,26-06-2024,1,0.0025,60,5,60.5
8005,CDS,cde_fo,USDINR,12282,OPTCUR,PE,84.25,USDINR27JULY2384.25PE,USDINR23JUL84.25PE,USDINR 27JUL23 84.25 PE,27-07-2023,1,0.0025,84,25,84.25
8006,CDS,cde_fo,USDINR,12283,OPTCUR,CE,84.5,USDINR27JULY2384.5CE,USDINR23JUL84.5CE,USDINR 27JUL23 84.5 CE,27-07-2023,1,0.0025,84,5,84.5
8007,CDS,cde_fo,EURINR,12284,OPTCUR,PE,94,EURINR26SEPTEMBER2394PE,EURINR23SEP94PE,EURINR 26SEP23 94 PE,26-09-2023,1,0.0025,94,,94
8008,CDS,cde_fo,JPYINR,12285,OPTCUR,CE,60.75,JPYINR26JUNE2460.75CE,JPYINR24JUN60.75CE,JPYINR 26JUN24 60.75 CE,26-06-2024,1,0.0025,60,75,60.75
8009,CDS,cde_fo,JPYINR,12286,OPTCUR,PE,60.75,JPYINR26JUNE2460.75PE,JPYINR24JUN60.75PE,JPYINR 26JUN24 60.75 PE,26-06-2024,1,0.0025,60,75,60.75
8010,CDS,cde_fo,JPYINR,12287,OPTCUR,PE,66.25,JPYINR27MARCH2466.25PE,JPYINR24MAR66.25PE,JPYINR 27MAR24 66.25 PE,27-03-2024,1,0.0025,66,25,66.25
8011,CDS,cde_fo,JPYINR,12288,OPTCUR,CE,66.5,JPYINR27MARCH2466.5CE,JPYINR24MAR66.5CE,JPYINR 27MAR24 66.5 CE,27-03-2024,1,0.0025,66,5,66.5
8012,CDS,cde_fo,JPYINR,12289,OPTCUR,PE,66.5,JPYINR27MARCH2466.5PE,JPYINR24MAR66.5PE,JPYINR 27MAR24 66.5 PE,27-03-2024,1,0.0025,66,5,66.5
8013,CDS,cde_fo,JPYINR,12290,OPTCUR,CE,66.75,JPYINR27MARCH2466.75CE,JPYINR24MAR66.75CE,JPYINR 27MAR24 66.75 CE,27-03-2024,1,0.0025,66,75,66.75
8014,CDS,cde_fo,JPYINR,12291,OPTCUR,PE,66.75,JPYINR27MARCH2466.75PE,JPYINR24MAR66.75PE,JPYINR 27MAR24 66.75 PE,27-03-2024,1,0.0025,66,75,66.75
8015,CDS,cde_fo,JPYINR,12292,OPTCUR,CE,67,JPYINR27MARCH2467CE,JPYINR24MAR67CE,JPYINR 27MAR24 67 CE,27-03-2024,1,0.0025,67,,67
8016,CDS,cde_fo,JPYINR,12293,OPTCUR,PE,67,JPYINR27MARCH2467PE,JPYINR24MAR67PE,JPYINR 27MAR24 67 PE,27-03-2024,1,0.0025,67,,67
8017,CDS,cde_fo,JPYINR,12294,OPTCUR,CE,67.25,JPYINR27MARCH2467.25CE,JPYINR24MAR67.25CE,JPYINR 27MAR24 67.25 CE,27-03-2024,1,0.0025,67,25,67.25
8018,CDS,cde_fo,JPYINR,12295,OPTCUR,PE,67.25,JPYINR27MARCH2467.25PE,JPYINR24MAR67.25PE,JPYINR 27MAR24 67.25 PE,27-03-2024,1,0.0025,67,25,67.25
8019,CDS,cde_fo,JPYINR,12296,OPTCUR,CE,67.5,JPYINR27MARCH2467.5CE,JPYINR24MAR67.5CE,JPYINR 27MAR24 67.5 CE,27-03-2024,1,0.0025,67,5,67.5
8020,CDS,cde_fo,JPYINR,12297,OPTCUR,PE,67.5,JPYINR27MARCH2467.5PE,JPYINR24MAR67.5PE,JPYINR 27MAR24 67.5 PE,27-03-2024,1,0.0025,67,5,67.5
8021,CDS,cde_fo,JPYINR,12298,OPTCUR,CE,67.75,JPYINR27MARCH2467.75CE,JPYINR24MAR67.75CE,JPYINR 27MAR24 67.75 CE,27-03-2024,1,0.0025,67,75,67.75
8022,CDS,cde_fo,JPYINR,12299,OPTCUR,PE,67.75,JPYINR27MARCH2467.75PE,JPYINR24MAR67.75PE,JPYINR 27MAR24 67.75 PE,27-03-2024,1,0.0025,67,75,67.75
8023,CDS,cde_fo,JPYINR,12300,OPTCUR,CE,68,JPYINR27MARCH2468CE,JPYINR24MAR68CE,JPYINR 27MAR24 68 CE,27-03-2024,1,0.0025,68,,68
8024,CDS,cde_fo,USDINR,12301,OPTCUR,CE,82,USDINR27DECEMBER2382CE,USDINR23DEC82CE,USDINR 27DEC23 82 CE,27-12-2023,1,0.0025,82,,82
8025,CDS,cde_fo,USDINR,12302,OPTCUR,PE,82,USDINR27DECEMBER2382PE,USDINR23DEC82PE,USDINR 27DEC23 82 PE,27-12-2023,1,0.0025,82,,82
8026,CDS,cde_fo,USDINR,12303,OPTCUR,CE,82.25,USDINR27DECEMBER2382.25CE,USDINR23DEC82.25CE,USDINR 27DEC23 82.25 CE,27-12-2023,1,0.0025,82,25,82.25
8027,CDS,cde_fo,USDINR,12304,OPTCUR,PE,82.25,USDINR27DECEMBER2382.25PE,USDINR23DEC82.25PE,USDINR 27DEC23 82.25 PE,27-12-2023,1,0.0025,82,25,82.25
8028,CDS,cde_fo,USDINR,12305,OPTCUR,CE,82.5,USDINR27DECEMBER2382.5CE,USDINR23DEC82.5CE,USDINR 27DEC23 82.5 CE,27-12-2023,1,0.0025,82,5,82.5
8029,CDS,cde_fo,USDINR,12306,OPTCUR,PE,82.5,USDINR27DECEMBER2382.5PE,USDINR23DEC82.5PE,USDINR 27DEC23 82.5 PE,27-12-2023,1,0.0025,82,5,82.5
8030,CDS,cde_fo,USDINR,12307,OPTCUR,CE,82.75,USDINR27DECEMBER2382.75CE,USDINR23DEC82.75CE,USDINR 27DEC23 82.75 CE,27-12-2023,1,0.0025,82,75,82.75
8031,CDS,cde_fo,USDINR,12308,OPTCUR,PE,82.75,USDINR27DECEMBER2382.75PE,USDINR23DEC82.75PE,USDINR 27DEC23 82.75 PE,27-12-2023,1,0.0025,82,75,82.75
8032,CDS,cde_fo,USDINR,12309,OPTCUR,CE,83,USDINR27DECEMBER2383CE,USDINR23DEC83CE,USDINR 27DEC23 83 CE,27-12-2023,1,0.0025,83,,83
8033,CDS,cde_fo,USDINR,12310,OPTCUR,PE,83,USDINR27DECEMBER2383PE,USDINR23DEC83PE,USDINR 27DEC23 83 PE,27-12-2023,1,0.0025,83,,83
8034,CDS,cde_fo,USDINR,12311,OPTCUR,CE,83.25,USDINR27DECEMBER2383.25CE,USDINR23DEC83.25CE,USDINR 27DEC23 83.25 CE,27-12-2023,1,0.0025,83,25,83.25
8035,CDS,cde_fo,USDINR,12312,OPTCUR,PE,83.25,USDINR27DECEMBER2383.25PE,USDINR23DEC83.25PE,USDINR 27DEC23 83.25 PE,27-12-2023,1,0.0025,83,25,83.25
8036,CDS,cde_fo,USDINR,12313,OPTCUR,CE,83.5,USDINR27DECEMBER2383.5CE,USDINR23DEC83.5CE,USDINR 27DEC23 83.5 CE,27-12-2023,1,0.0025,83,5,83.5
8037,CDS,cde_fo,USDINR,12314,OPTCUR,PE,83.5,USDINR27DECEMBER2383.5PE,USDINR23DEC83.5PE,USDINR 27DEC23 83.5 PE,27-12-2023,1,0.0025,83,5,83.5
8038,CDS,cde_fo,USDINR,12315,OPTCUR,PE,86.75,USDINR04AUGUST2386.75PE,USDINR2380486.75PE,USDINR 04AUG23 86.75 PE,04-08-2023,1,0.0025,86,75,86.75
