Exch,Exchange Segment,Symbol,Token,Instrument Type,Option Type,Strike Price,Instrument Name,Trading Symbol,Formatted Ins Name,Expiry Date,Lot Size,Tick Size,FreezeQty
MCX,mcx_fo,GOLD,251007,OPTFUT,PE,54300,GOLD23NOV54300PE,GOLD23NOV54300PE,GOLD 24NOV23 54300 PE,2023-11-24,1,0.5,100
MCX,mcx_fo,GOLD,251008,OPTFUT,CE,54400,GOLD23NOV54400CE,GOLD23NOV54400CE,GOLD 24NOV23 54400 CE,2023-11-24,1,0.5,100
MCX,mcx_fo,GOLD,251009,OPTFUT,PE,54400,GOLD23NOV54400PE,GOLD23NOV54400PE,GOLD 24NOV23 54400 PE,2023-11-24,1,0.5,100
MCX,mcx_fo,GOLD,251010,OPTFUT,CE,54500,GOLD23NOV54500CE,GOLD23NOV54500CE,GOLD 24NOV23 54500 CE,2023-11-24,1,0.5,100
MCX,mcx_fo,GOLD,251011,OPTFUT,PE,54500,GOLD23NOV54500PE,GOLD23NOV54500PE,GOLD 24NOV23 54500 PE,2023-11-24,1,0.5,100
MCX,mcx_fo,GOLD,251012,OPTFUT,CE,54600,GOLD23NOV54600CE,GOLD23NOV54600CE,GOLD 24NOV23 54600 CE,2023-11-24,1,0.5,100
MCX,mcx_fo,GOLD,251013,OPTFUT,PE,54600,GOLD23NOV54600PE,GOLD23NOV54600PE,GOLD 24NOV23 54600 PE,2023-11-24,1,0.5,100
MCX,mcx_fo,GOLD,251014,OPTFUT,CE,54700,GOLD23NOV54700CE,GOLD23NOV54700CE,GOLD 24NOV23 54700 CE,2023-11-24,1,0.5,100
MCX,mcx_fo,GOLD,251015,OPTFUT,PE,54700,GOLD23NOV54700PE,GOLD23NOV54700PE,GOLD 24NOV23 54700 PE,2023-11-24,1,0.5,100
MCX,mcx_fo,GOLD,251016,OPTFUT,CE,54800,GOLD23NOV54800CE,GOLD23NOV54800CE,GOLD 24NOV23 54800 CE,2023-11-24,1,0.5,100
MCX,mcx_fo,GOLD,251017,OPTFUT,PE,54800,GOLD23NOV54800PE,GOLD23NOV54800PE,GOLD 24NOV23 54800 PE,2023-11-24,1,0.5,100
MCX,mcx_fo,GOLD,251018,OPTFUT,CE,54900,GOLD23NOV54900CE,GOLD23NOV54900CE,GOLD 24NOV23 54900 CE,2023-11-24,1,0.5,100
MCX,mcx_fo,GOLD,251019,OPTFUT,PE,54900,GOLD23NOV54900PE,GOLD23NOV54900PE,GOLD 24NOV23 54900 PE,2023-11-24,1,0.5,100
MCX,mcx_fo,GOLD,251020,OPTFUT,CE,55000,GOLD23NOV55000CE,GOLD23NOV55000CE,GOLD 24NOV23 55000 CE,2023-11-24,1,0.5,100
MCX,mcx_fo,GOLD,251021,OPTFUT,PE,55000,GOLD23NOV55000PE,GOLD23NOV55000PE,GOLD 24NOV23 55000 PE,2023-11-24,1,0.5,100
MCX,mcx_fo,GOLD,251022,OPTFUT,CE,55100,GOLD23NOV55100CE,GOLD23NOV55100CE,GOLD 24NOV23 55100 CE,2023-11-24,1,0.5,100
MCX,mcx_fo,GOLD,251023,OPTFUT,PE,55100,GOLD23NOV55100PE,GOLD23NOV55100PE,GOLD 24NOV23 55100 PE,2023-11-24,1,0.5,100
MCX,mcx_fo,GOLD,251024,OPTFUT,CE,55200,GOLD23NOV55200CE,GOLD23NOV55200CE,GOLD 24NOV23 55200 CE,2023-11-24,1,0.5,100
MCX,mcx_fo,GOLD,251025,OPTFUT,PE,55200,GOLD23NOV55200PE,GOLD23NOV55200PE,GOLD 24NOV23 55200 PE,2023-11-24,1,0.5,100
MCX,mcx_fo,GOLD,251026,OPTFUT,CE,55300,GOLD23NOV55300CE,GOLD23NOV55300CE,GOLD 24NOV23 55300 CE,2023-11-24,1,0.5,100
MCX,mcx_fo,GOLD,251027,OPTFUT,PE,55300,GOLD23NOV55300PE,GOLD23NOV55300PE,GOLD 24NOV23 55300 PE,2023-11-24,1,0.5,100
MCX,mcx_fo,GOLD,251028,OPTFUT,CE,55400,GOLD23NOV55400CE,GOLD23NOV55400CE,GOLD 24NOV23 55400 CE,2023-11-24,1,0.5,100
MCX,mcx_fo,GOLD,251029,OPTFUT,PE,55400,GOLD23NOV55400PE,GOLD23NOV55400PE,GOLD 24NOV23 55400 PE,2023-11-24,1,0.5,100
MCX,mcx_fo,GOLD,251030,OPTFUT,CE,55500,GOLD23NOV55500CE,GOLD23NOV55500CE,GOLD 24NOV23 55500 CE,2023-11-24,1,0.5,100
MCX,mcx_fo,GOLD,251031,OPTFUT,PE,55500,GOLD23NOV55500PE,GOLD23NOV55500PE,GOLD 24NOV23 55500 PE,2023-11-24,1,0.5,100
MCX,mcx_fo,GOLD,251032,OPTFUT,CE,55600,GOLD23NOV55600CE,GOLD23NOV55600CE,GOLD 24NOV23 55600 CE,2023-11-24,1,0.5,100
MCX,mcx_fo,GOLD,251033,OPTFUT,PE,55600,GOLD23NOV55600PE,GOLD23NOV55600PE,GOLD 24NOV23 55600 PE,2023-11-24,1,0.5,100
MCX,mcx_fo,GOLD,251034,OPTFUT,CE,55700,GOLD23NOV55700CE,GOLD23NOV55700CE,GOLD 24NOV23 55700 CE,2023-11-24,1,0.5,100
MCX,mcx_fo,GOLD,251035,OPTFUT,PE,55700,GOLD23NOV55700PE,GOLD23NOV55700PE,GOLD 24NOV23 55700 PE,2023-11-24,1,0.5,100
MCX,mcx_fo,GOLD,251036,OPTFUT,CE,55800,GOLD23NOV55800CE,GOLD23NOV55800CE,GOLD 24NOV23 55800 CE,2023-11-24,1,0.5,100
MCX,mcx_fo,GOLD,251037,OPTFUT,PE,55800,GOLD23NOV55800PE,GOLD23NOV55800PE,GOLD 24NOV23 55800 PE,2023-11-24,1,0.5,100
MCX,mcx_fo,GOLD,251038,OPTFUT,CE,55900,GOLD23NOV55900CE,GOLD23NOV55900CE,GOLD 24NOV23 55900 CE,2023-11-24,1,0.5,100
MCX,mcx_fo,GOLD,251039,OPTFUT,PE,55900,GOLD23NOV55900PE,GOLD23NOV55900PE,GOLD 24NOV23 55900 PE,2023-11-24,1,0.5,100
MCX,mcx_fo,GOLD,251040,OPTFUT,CE,56000,GOLD23NOV56000CE,GOLD23NOV56000CE,GOLD 24NOV23 56000 CE,2023-11-24,1,0.5,100
MCX,mcx_fo,GOLD,251041,OPTFUT,PE,56000,GOLD23NOV56000PE,GOLD23NOV56000PE,GOLD 24NOV23 56000 PE,2023-11-24,1,0.5,100
MCX,mcx_fo,GOLD,251042,OPTFUT,CE,56100,GOLD23NOV56100CE,GOLD23NOV56100CE,GOLD 24NOV23 56100 CE,2023-11-24,1,0.5,100
MCX,mcx_fo,GOLD,251043,OPTFUT,PE,56100,GOLD23NOV56100PE,GOLD23NOV56100PE,GOLD 24NOV23 56100 PE,2023-11-24,1,0.5,100
MCX,mcx_fo,GOLD,251044,OPTFUT,CE,56200,GOLD23NOV56200CE,GOLD23NOV56200CE,GOLD 24NOV23 56200 CE,2023-11-24,1,0.5,100
MCX,mcx_fo,GOLD,251045,OPTFUT,PE,56200,GOLD23NOV56200PE,GOLD23NOV56200PE,GOLD 24NOV23 56200 PE,2023-11-24,1,0.5,100
MCX,mcx_fo,GOLD,251046,OPTFUT,CE,56300,GOLD23NOV56300CE,GOLD23NOV56300CE,GOLD 24NOV23 56300 CE,2023-11-24,1,0.5,100
MCX,mcx_fo,GOLD,251047,OPTFUT,PE,56300,GOLD23NOV56300PE,GOLD23NOV56300PE,GOLD 24NOV23 56300 PE,2023-11-24,1,0.5,100
MCX,mcx_fo,GOLD,251048,OPTFUT,CE,56400,GOLD23NOV56400CE,GOLD23NOV56400CE,GOLD 24NOV23 56400 CE,2023-11-24,1,0.5,100
MCX,mcx_fo,GOLD,251049,OPTFUT,PE,56400,GOLD23NOV56400PE,GOLD23NOV56400PE,GOLD 24NOV23 56400 PE,2023-11-24,1,0.5,100
MCX,mcx_fo,GOLD,251050,OPTFUT,CE,56500,GOLD23NOV56500CE,GOLD23NOV56500CE,GOLD 24NOV23 56500 CE,2023-11-24,1,0.5,100
MCX,mcx_fo,GOLD,251051,OPTFUT,PE,56500,GOLD23NOV56500PE,GOLD23NOV56500PE,GOLD 24NOV23 56500 PE,2023-11-24,1,0.5,100
MCX,mcx_fo,GOLD,251052,OPTFUT,CE,56600,GOLD23NOV56600CE,GOLD23NOV56600CE,GOLD 24NOV23 56600 CE,2023-11-24,1,0.5,100
MCX,mcx_fo,GOLD,251053,OPTFUT,PE,56600,GOLD23NOV56600PE,GOLD23NOV56600PE,GOLD 24NOV23 56600 PE,2023-11-24,1,0.5,100
MCX,mcx_fo,GOLD,251054,OPTFUT,CE,56700,GOLD23NOV56700CE,GOLD23NOV56700CE,GOLD 24NOV23 56700 CE,2023-11-24,1,0.5,100
MCX,mcx_fo,GOLD,251055,OPTFUT,PE,56700,GOLD23NOV56700PE,GOLD23NOV56700PE,GOLD 24NOV23 56700 PE,2023-11-24,1,0.5,100
MCX,mcx_fo,GOLD,254876,OPTFUT,PE,64700,GOLD24JAN64700PE,GOLD24JAN64700PE,GOLD 24JAN24 64700 PE,2024-01-24,1,0.5,100
MCX,mcx_fo,GOLD,254877,OPTFUT,CE,64800,GOLD24JAN64800CE,GOLD24JAN64800CE,GOLD 24JAN24 64800 CE,2024-01-24,1,0.5,100
MCX,mcx_fo,GOLD,254878,OPTFUT,PE,64800,GOLD24JAN64800PE,GOLD24JAN64800PE,GOLD 24JAN24 64800 PE,2024-01-24,1,0.5,100
MCX,mcx_fo,GOLD,254959,OPTFUT,CE,64900,GOLD24JAN64900CE,GOLD24JAN64900CE,GOLD 24JAN24 64900 CE,2024-01-24,1,0.5,100
MCX,mcx_fo,GOLD,254960,OPTFUT,PE,64900,GOLD24JAN64900PE,GOLD24JAN64900PE,GOLD 24JAN24 64900 PE,2024-01-24,1,0.5,100
MCX,mcx_fo,GOLD,255137,OPTFUT,CE,65000,GOLD24JAN65000CE,GOLD24JAN65000CE,GOLD 24JAN24 65000 CE,2024-01-24,1,0.5,100
MCX,mcx_fo,GOLD,255138,OPTFUT,PE,65000,GOLD24JAN65000PE,GOLD24JAN65000PE,GOLD 24JAN24 65000 PE,2024-01-24,1,0.5,100
MCX,mcx_fo,GOLD,255139,OPTFUT,CE,65100,GOLD24JAN65100CE,GOLD24JAN65100CE,GOLD 24JAN24 65100 CE,2024-01-24,1,0.5,100
MCX,mcx_fo,GOLD,255140,OPTFUT,PE,65100,GOLD24JAN65100PE,GOLD24JAN65100PE,GOLD 24JAN24 65100 PE,2024-01-24,1,0.5,100
MCX,mcx_fo,GOLD,255141,OPTFUT,CE,65200,GOLD24JAN65200CE,GOLD24JAN65200CE,GOLD 24JAN24 65200 CE,2024-01-24,1,0.5,100
MCX,mcx_fo,GOLD,255142,OPTFUT,PE,65200,GOLD24JAN65200PE,GOLD24JAN65200PE,GOLD 24JAN24 65200 PE,2024-01-24,1,0.5,100
MCX,mcx_fo,GOLD,255143,OPTFUT,CE,65300,GOLD24JAN65300CE,GOLD24JAN65300CE,GOLD 24JAN24 65300 CE,2024-01-24,1,0.5,100
MCX,mcx_fo,GOLD,255144,OPTFUT,PE,65300,GOLD24JAN65300PE,GOLD24JAN65300PE,GOLD 24JAN24 65300 PE,2024-01-24,1,0.5,100
MCX,mcx_fo,GOLD,255145,OPTFUT,CE,65400,GOLD24JAN65400CE,GOLD24JAN65400CE,GOLD 24JAN24 65400 CE,2024-01-24,1,0.5,100
MCX,mcx_fo,GOLD,255146,OPTFUT,PE,65400,GOLD24JAN65400PE,GOLD24JAN65400PE,GOLD 24JAN24 65400 PE,2024-01-24,1,0.5,100
MCX,mcx_fo,GOLD,255147,OPTFUT,CE,65500,GOLD24JAN65500CE,GOLD24JAN65500CE,GOLD 24JAN24 65500 CE,2024-01-24,1,0.5,100
MCX,mcx_fo,GOLD,255148,OPTFUT,PE,65500,GOLD24JAN65500PE,GOLD24JAN65500PE,GOLD 24JAN24 65500 PE,2024-01-24,1,0.5,100
